"Company","cpu_brand","cpu_name","cpu_speed","gpu_brand","Inches","ips_display","memory_type","OpSys","Price","primary_storage","Ram","resolution_height","resolution_width","secondary_storage","touchscreen","TypeName","Weight"
"Dell","Intel"," Core i5",1.6,"AMD",17.3,1,"hybrid","windows",52161.0,"128",8,1920,1080,"1024",0,"Notebook",2.8
"HP","Intel"," Core i5",2.5,"Intel",15.6,0,"hdd","windows",26037.0,"1024",4,1366,768,"0",0,"Notebook",1.86
"HP","Intel"," Core i5",1.6,"Nvidia",15.6,0,"ssd","windows",46833.0,"256",8,1920,1080,"0",0,"Notebook",2.1
"Asus","Intel"," Core i3",2.0,"Intel",15.6,0,"hdd","linux",20726.0,"1024",4,1920,1080,"0",0,"Notebook",2.0
"Dell","Intel"," Core i7",2.8,"Nvidia",15.6,1,"hybrid","windows",79867.0,"256",16,1920,1080,"1024",0,"Gaming",2.65
"Asus","Intel"," Core i5",2.5,"Nvidia",15.6,0,"hdd","linux",27865.0,"1024",8,1366,768,"0",0,"Notebook",2.3
"Acer","Intel"," Core i5",1.6,"Intel",15.6,1,"ssd","windows",36337.0,"256",4,1920,1080,"0",0,"Notebook",2.2
"Dell","Intel"," Core i5",1.6,"Nvidia",17.3,0,"hdd","windows",53227.0,"1024",12,1920,1080,"0",1,"2 in 1 Convertible",2.77
"Apple","Intel"," Core i5",2.0,"Intel",13.3,1,"ssd","mac",75604.0,"256",8,2560,1600,"0",0,"Ultrabook",1.37
"Asus","AMD"," Ryzen 1700",3.0,"AMD",17.3,0,"hybrid","windows",69211.0,"256",8,1920,1080,"1024",0,"Gaming",3.2
"Dell","Intel"," Core i5",2.5,"AMD",15.6,0,"ssd","windows",34046.0,"256",4,1920,1080,"0",0,"Notebook",2.3
"Asus","Intel"," Pentium Quad",1.1,"Nvidia",17.3,0,"hdd","windows",24828.0,"1024",4,1366,768,"0",0,"Notebook",2.8
"Acer","Intel"," Core i7",1.8,"Nvidia",15.6,1,"ssd","windows",44808.0,"256",8,1920,1080,"0",0,"Notebook",2.2
"HP","AMD"," A6-Series 9220",2.5,"AMD",15.6,0,"ssd","windows",21232.0,"256",4,1920,1080,"0",0,"Notebook",1.86
"HP","Intel"," Core i7",1.8,"Intel",13.3,0,"ssd","windows",58768.0,"512",8,1920,1080,"0",0,"Notebook",1.49
"Acer","Intel"," Core i3",2.4,"Intel",15.6,0,"hdd","windows",20460.0,"1024",4,1366,768,"0",0,"Notebook",2.4
"Dell","Intel"," Core i7",1.8,"AMD",15.6,0,"ssd","windows",40908.0,"256",8,1920,1080,"0",0,"Notebook",2.13
"HP","Intel"," Core i3",2.0,"Intel",15.6,0,"ssd","windows",23390.0,"128",4,1920,1080,"0",0,"Notebook",1.91
"Asus","Intel"," Core i5",2.5,"Intel",15.6,0,"ssd","windows",31232.0,"256",4,1366,768,"0",0,"Notebook",2.0
"MSI","Intel"," Core i7",2.8,"Nvidia",17.3,0,"hybrid","windows",130483.0,"256",16,1920,1080,"2048",0,"Gaming",2.43
"Asus","Intel"," Core i3",2.0,"Intel",15.6,0,"ssd","linux",22111.0,"256",4,1920,1080,"0",0,"Notebook",2.0
"Dell","Intel"," Core i7",1.8,"AMD",17.3,0,"hybrid","windows",69211.0,"256",16,1920,1080,"2048",0,"Notebook",2.8
"Dell","Intel"," Core i5",1.6,"Intel",14.0,0,"ssd","windows",46833.0,"256",8,1920,1080,"0",0,"Ultrabook",1.7
"Lenovo","Intel"," Core i3",2.7,"Intel",14.0,1,"ssd","N/A",31915.0,"256",8,1920,1080,"0",0,"Notebook",1.7
"Asus","Intel"," Core i5",1.6,"Intel",14.0,0,"ssd","windows",50136.0,"256",8,1920,1080,"0",0,"Notebook",1.4
"HP","Intel"," Core i5",2.5,"Intel",15.6,0,"ssd","windows",36763.0,"256",8,1920,1080,"0",0,"Notebook",1.86
"Asus","Intel"," Core i7",2.8,"Nvidia",15.6,0,"ssd","windows",105654.0,"512",16,1920,1080,"0",0,"Ultrabook",1.8
"HP","Intel"," Core i3",2.0,"AMD",15.6,0,"hdd","windows",23373.0,"500",4,1366,768,"0",0,"Notebook",1.86
"HP","Intel"," Celeron Dual",1.6,"Intel",14.0,0,"ssd","windows",12201.0,"32",4,1366,768,"0",0,"Notebook",1.44
"Lenovo","Intel"," Core i5",2.5,"Intel",15.6,0,"hdd","windows",29251.0,"1024",4,1920,1080,"0",0,"Notebook",1.9
"Asus","Intel"," Core i7",2.8,"Nvidia",17.3,0,"hdd","linux",50563.0,"1024",12,1920,1080,"0",0,"Gaming",3.0
"Microsoft","Intel"," Core i5",2.5,"Intel",13.5,0,"ssd","windows",58022.0,"128",4,2256,1504,"0",1,"Ultrabook",1.25
"Dell","Intel"," Core i7",1.8,"AMD",13.3,1,"ssd","windows",50882.0,"256",64,1920,1080,"0",0,"Ultrabook",1.4
"Dell","Intel"," Core i7",1.8,"AMD",15.6,0,"ssd","windows",46354.0,"256",8,1920,1080,"0",0,"Notebook",2.2
"MSI","Intel"," Core i5",2.5,"Nvidia",17.3,0,"hybrid","windows",58342.0,"128",8,1920,1080,"1024",0,"Gaming",2.7
"Acer","Intel"," Core i3",2.0,"Intel",14.0,0,"hdd","windows",20726.0,"1024",8,1366,768,"0",0,"Notebook",2.1
"Asus","Intel"," Core i7",2.8,"Nvidia",15.6,0,"hdd","windows",50563.0,"1024",8,1920,1080,"0",0,"Gaming",2.2
"Lenovo","Intel"," Core i5",2.5,"Intel",15.6,0,"hdd","N/A",27652.0,"2048",8,1920,1080,"0",0,"Notebook",2.2
"Dell","Intel"," Core i7",1.8,"Intel",15.6,0,"hybrid","windows",45554.0,"128",8,1920,1080,"1024",0,"Notebook",2.02
"Acer","Intel"," Core i3",2.7,"Nvidia",15.6,0,"hdd","windows",28238.0,"1024",4,1920,1080,"0",0,"Notebook",2.2
"HP","Intel"," Core i5",1.6,"Nvidia",17.3,0,"hybrid","windows",52055.0,"128",8,1920,1080,"1024",0,"Notebook",2.5
"Dell","Intel"," Core i5",1.6,"Intel",15.6,1,"ssd","windows",58403.0,"256",8,1920,1080,"0",0,"Ultrabook",1.88
"Apple","Intel"," Core i5",1.3,"Intel",12.0,1,"ssd","mac",80453.0,"512",8,2304,1440,"0",0,"Ultrabook",0.92
"HP","Intel"," Core i5",1.6,"Intel",14.0,0,"ssd","windows",45821.0,"256",8,1920,1080,"0",0,"Notebook",1.63
"Lenovo","AMD"," A6-Series 9220",2.5,"AMD",15.6,0,"ssd","windows",21259.0,"128",4,1920,1080,"0",0,"Notebook",2.2
"Acer","AMD"," A9-Series 9420",3.0,"AMD",15.6,0,"hdd","windows",21046.0,"1024",4,1366,768,"0",0,"Notebook",2.1
"Dell","Intel"," Core i7",2.8,"Nvidia",15.6,1,"hybrid","windows",71875.0,"128",16,1920,1080,"1024",0,"Gaming",2.65
"HP","Intel"," Core i7",1.8,"Nvidia",15.6,1,"ssd","windows",37243.0,"256",8,1920,1080,"0",0,"Ultrabook",1.83
"HP","Intel"," Core i5",2.5,"Intel",15.6,0,"ssd","windows",31914.0,"256",8,1920,1080,"0",0,"Notebook",1.96
"Asus","Intel"," Core i7",2.8,"Nvidia",15.6,1,"hybrid","windows",77203.0,"128",16,1920,1080,"1024",0,"Gaming",2.2
"Dell","Intel"," Core i7",1.8,"Intel",13.3,1,"ssd","windows",87859.0,"256",8,1920,1080,"0",0,"Ultrabook",1.21
"Asus","AMD"," FX 9830P",3.0,"AMD",15.6,0,"hdd","windows",37243.0,"1024",8,1920,1080,"0",0,"Gaming",2.45
"Acer","Intel"," Core i7",1.8,"Nvidia",15.6,0,"hdd","windows",36710.0,"1024",2,1920,1080,"0",0,"Notebook",2.2
"HP","Intel"," Core i7",1.8,"Intel",13.3,0,"ssd","windows",63776.0,"512",16,1920,1080,"0",0,"Notebook",1.49
"Dell","Intel"," Core i5",2.5,"Nvidia",15.6,0,"ssd","windows",63670.0,"256",8,1920,1080,"0",0,"Gaming",2.65
"Asus","Intel"," Core i7",2.7,"Intel",14.0,0,"ssd","windows",55891.0,"256",8,1920,1080,"0",0,"Ultrabook",1.25
"Acer","Intel"," Core i5",1.6,"Intel",13.3,1,"ssd","windows",45128.0,"256",8,1920,1080,"0",1,"2 in 1 Convertible",1.5
"Dell","Intel"," Core i7",2.7,"AMD",15.6,0,"hdd","linux",31963.0,"1024",8,1920,1080,"0",0,"Notebook",2.2
"Dell","Intel"," Core i3",2.0,"AMD",15.6,0,"ssd","linux",25841.0,"256",4,1920,1080,"0",0,"Notebook",2.2
"Asus","Intel"," Core i3",2.4,"Nvidia",15.6,0,"ssd","windows",30743.0,"256",6,1920,1080,"0",0,"Notebook",2.0
"HP","Intel"," Core i7",2.8,"Nvidia",15.6,1,"hybrid","windows",66547.0,"128",12,1920,1080,"1024",0,"Gaming",2.62
"HP","Intel"," Core i7",2.7,"AMD",15.6,0,"ssd","windows",38308.0,"256",8,1920,1080,"0",0,"Notebook",1.91
"HP","AMD"," E-Series E2-9000e",1.5,"AMD",15.6,0,"hdd","windows",18595.0,"500",4,1920,1080,"0",0,"Notebook",2.1
"Dell","Intel"," Core i5",1.6,"AMD",15.6,0,"hdd","linux",34472.0,"1024",8,1920,1080,"0",0,"Notebook",2.2
"HP","Intel"," Core i7",2.7,"Nvidia",13.3,1,"ssd","windows",59620.0,"256",8,1920,1080,"0",0,"Ultrabook",1.38
"Microsoft","Intel"," Core i5",2.5,"Intel",13.5,0,"ssd","windows",71395.0,"256",8,2256,1504,"0",1,"Ultrabook",1.25
"HP","Intel"," Core i5",2.5,"Nvidia",14.0,1,"ssd","windows",35112.0,"256",6,1920,1080,"0",0,"Notebook",1.58
"Lenovo","Intel"," Core i3",2.0,"Intel",15.6,0,"hdd","windows",22106.0,"1024",4,1920,1080,"0",0,"Notebook",1.85
"Asus","Intel"," Core i7",2.7,"Nvidia",14.0,1,"ssd","windows",63563.0,"256",8,1920,1080,"0",0,"Ultrabook",1.3
"MSI","Intel"," Core i7",2.8,"Nvidia",15.6,0,"hybrid","windows",69211.0,"256",16,1920,1080,"1024",0,"Gaming",2.2
"Lenovo","Intel"," Core i7",2.7,"Intel",14.0,1,"ssd","windows",78854.0,"256",8,1920,1080,"0",0,"Notebook",1.58
"Asus","Intel"," Core i7",1.8,"Nvidia",15.6,0,"hybrid","windows",67239.0,"256",16,1920,1080,"1024",0,"Ultrabook",1.5
"Dell","Intel"," Core i7",2.4,"Intel",13.3,0,"ssd","windows",73473.0,"256",8,3200,1800,"0",1,"Ultrabook",1.23
"Lenovo","Intel"," Core i5",2.5,"Intel",13.3,1,"ssd","windows",74539.0,"256",8,1920,1080,"0",1,"2 in 1 Convertible",1.37
"HP","Intel"," Core i5",1.6,"Intel",14.0,1,"hdd","windows",38468.0,"500",4,1366,768,"0",0,"Notebook",1.63
"Dell","Intel"," Core i5",1.6,"Intel",13.3,1,"ssd","windows",86793.0,"256",8,1920,1080,"0",0,"Ultrabook",1.21
"HP","Intel"," Core i7",1.8,"Intel",14.0,0,"ssd","windows",57756.0,"512",8,1920,1080,"0",0,"Notebook",1.63
"Dell","Intel"," Core i7",1.8,"Nvidia",15.6,1,"hybrid","windows",60224.0,"256",8,1920,1080,"1024",0,"Notebook",2.16
"Asus","Intel"," Core i3",2.0,"Nvidia",17.3,0,"hdd","windows",30050.0,"1024",4,1920,1080,"0",0,"Notebook",2.0
"Asus","Intel"," Core i7",1.8,"Nvidia",15.6,0,"ssd","windows",59567.0,"256",8,1920,1080,"0",0,"Notebook",1.7
"Acer","Intel"," Core i3",2.4,"Intel",15.6,1,"hdd","windows",25521.0,"1024",6,1920,1080,"0",1,"Notebook",2.1
"MSI","Intel"," Core i7",2.8,"Nvidia",15.6,0,"hybrid","windows",119427.0,"256",16,1920,1080,"2048",0,"Gaming",1.8
"Lenovo","Intel"," Core i5",2.5,"Nvidia",15.6,0,"ssd","N/A",33513.0,"256",8,1920,1080,"0",0,"Notebook",2.2
"HP","Intel"," Core i7",1.8,"Nvidia",17.3,0,"ssd","windows",67719.0,"512",16,1920,1080,"0",0,"Notebook",2.5
"Acer","AMD"," A9-Series 9420",3.0,"AMD",15.6,0,"ssd","windows",24029.0,"256",4,1366,768,"0",0,"Notebook",2.1
"HP","Intel"," Core i5",1.6,"Intel",14.0,0,"hdd","windows",43263.0,"1024",8,1920,1080,"0",0,"Notebook",1.63
"Asus","AMD"," E-Series 6110",1.5,"AMD",14.0,0,"ssd","windows",14811.0,"64",4,1366,768,"0",0,"Notebook",1.65
"Dell","Intel"," Core i7",1.8,"AMD",17.3,0,"hybrid","windows",74379.0,"256",16,1920,1080,"2048",0,"Notebook",2.8
"HP","Intel"," Core i5",1.6,"Intel",17.3,0,"ssd","windows",49444.0,"256",8,1920,1080,"0",0,"Notebook",2.5
"Dell","Intel"," Core i5",2.5,"AMD",15.6,0,"hdd","windows",34045.0,"1024",8,1366,768,"0",0,"Notebook",2.36
"Dell","Intel"," Core i3",2.0,"AMD",15.6,0,"hdd","windows",23923.0,"1024",4,1920,1080,"0",0,"Notebook",2.2
"Acer","Intel"," Core i7",1.8,"Intel",14.0,1,"ssd","windows",47100.0,"256",8,1920,1080,"0",0,"Ultrabook",1.6
"Acer","Intel"," Core i3",2.7,"Nvidia",15.6,0,"ssd","windows",30476.0,"256",4,1920,1080,"0",0,"Notebook",7.2
"HP","Intel"," Core i7",2.7,"Intel",15.6,0,"hdd","windows",31861.0,"1024",8,1366,768,"0",0,"Notebook",2.05
"HP","Intel"," Core i7",1.8,"Intel",14.0,0,"ssd","windows",52641.0,"256",8,1920,1080,"0",0,"Notebook",1.63
"Lenovo","Intel"," Celeron Dual",1.1,"Intel",15.6,0,"hdd","N/A",13446.0,"1024",4,1366,768,"0",0,"Notebook",1.9
"Asus","Intel"," Core i5",2.5,"Nvidia",17.3,0,"hybrid","windows",49977.0,"128",8,1920,1080,"1024",0,"Gaming",3.0
"Lenovo","Intel"," Core i5",2.5,"Nvidia",15.6,0,"hdd","N/A",26587.0,"1024",4,1920,1080,"0",0,"Notebook",2.2
"HP","Intel"," Core i5",2.5,"Intel",13.3,1,"ssd","windows",37243.0,"256",4,1920,1080,"0",0,"Notebook",1.32
"Acer","Intel"," Core i3",2.7,"Nvidia",17.3,1,"hdd","windows",34898.0,"1024",4,1920,1080,"0",0,"Notebook",3.0
"Lenovo","Intel"," Core i5",1.6,"AMD",14.0,1,"ssd","windows",59462.0,"256",8,1920,1080,"0",0,"Notebook",1.75
"Lenovo","Intel"," Core i7",2.8,"Nvidia",15.6,1,"ssd","N/A",46300.0,"256",8,1920,1080,"0",0,"Gaming",2.4
"Toshiba","Intel"," Core i5",2.3,"Intel",15.6,0,"hdd","windows",32075.0,"500",4,1366,768,"0",0,"Notebook",2.1
"HP","AMD"," A6-Series 9220",2.5,"AMD",15.6,0,"ssd","windows",19660.0,"256",4,1366,768,"0",0,"Notebook",1.86
"Asus","Intel"," Core i7",1.8,"Intel",14.0,0,"ssd","windows",58555.0,"256",8,1920,1080,"0",0,"Ultrabook",1.25
"HP","Intel"," Core M",1.2,"Intel",12.5,1,"ssd","windows",107306.0,"512",8,3840,2160,"0",1,"Ultrabook",0.97
"Asus","Intel"," Celeron Dual",1.1,"Intel",15.6,0,"hdd","windows",18328.0,"1024",4,1920,1080,"0",0,"Notebook",2.0
"Acer","Intel"," Core i3",2.0,"Intel",15.6,0,"hdd","windows",23816.0,"1024",4,1366,768,"0",0,"Notebook",2.1
"Dell","Intel"," Core i7",2.8,"Nvidia",15.6,0,"ssd","windows",66561.0,"512",16,1920,1080,"0",0,"Gaming",2.56
"Dell","Intel"," Core i7",2.8,"Nvidia",15.6,0,"hybrid","windows",47899.0,"1024",8,1920,1080,"0",0,"Gaming",2.62
"Lenovo","Intel"," Core i5",2.5,"Intel",15.6,0,"ssd","windows",26533.0,"128",4,1366,768,"0",0,"Notebook",1.9
"MSI","Intel"," Core i7",2.8,"Nvidia",17.3,0,"hybrid","windows",100699.0,"256",16,1920,1080,"1024",0,"Gaming",2.8
"HP","Intel"," Core i5",2.7,"Intel",14.0,0,"ssd","windows",57649.0,"256",4,1920,1080,"0",0,"Ultrabook",1.48
"HP","Intel"," Core i5",1.6,"AMD",15.6,0,"ssd","windows",32980.0,"256",6,1920,1080,"0",0,"Notebook",1.91
"Lenovo","Intel"," Core i3",2.4,"Intel",14.0,1,"ssd","windows",33513.0,"256",4,1920,1080,"0",1,"2 in 1 Convertible",1.74
"Asus","Intel"," Core i5",1.6,"Intel",13.3,0,"ssd","windows",70063.0,"256",8,1920,1080,"0",1,"2 in 1 Convertible",1.1
"Dell","Intel"," Core i7",1.8,"Intel",15.6,0,"ssd","windows",55891.0,"256",8,1920,1080,"0",1,"2 in 1 Convertible",1.56
"Toshiba","Intel"," Core i3",2.2,"Intel",15.6,0,"hdd","windows",23816.0,"500",4,1366,768,"0",0,"Notebook",2.1
"Asus","AMD"," A9-Series 9420",3.0,"AMD",15.6,0,"hdd","windows",21472.0,"1024",4,1366,768,"0",0,"Notebook",2.03
"Acer","Intel"," Core i5",1.6,"Nvidia",17.3,1,"ssd","windows",42890.0,"256",4,1920,1080,"0",0,"Notebook",3.0
"Dell","Intel"," Core i5",1.6,"AMD",15.6,0,"ssd","windows",38788.0,"256",8,1920,1080,"0",0,"Notebook",2.13
"Lenovo","Intel"," Core i7",2.8,"Nvidia",15.6,1,"ssd","windows",57489.0,"256",16,1920,1080,"0",0,"Gaming",2.5
"Acer","Intel"," Celeron Dual",1.1,"Intel",15.6,0,"hdd","windows",18541.0,"1024",4,1366,768,"0",0,"Notebook",2.1
"MSI","Intel"," Core i7",2.8,"Nvidia",15.6,1,"hybrid","windows",95851.0,"256",16,1920,1080,"1024",0,"Gaming",2.4
"Acer","Intel"," Pentium Quad",1.1,"Intel",15.6,0,"hdd","windows",19368.0,"1024",4,1366,768,"0",0,"Notebook",2.1
"Dell","Intel"," Core i7",2.8,"Nvidia",15.6,0,"hybrid","windows",56503.0,"128",8,1920,1080,"1024",0,"Gaming",2.56
"Acer","Intel"," Core i5",1.6,"Nvidia",17.3,1,"ssd","windows",45501.0,"256",8,1920,1080,"0",0,"Notebook",3.0
"HP","Intel"," Core i5",1.6,"Intel",13.3,1,"hdd","windows",40173.0,"500",4,1920,1080,"0",0,"Notebook",1.49
"Huawei","Intel"," Core i5",2.5,"Intel",13.0,1,"ssd","windows",71875.0,"256",8,2160,1440,"0",0,"Ultrabook",1.05
"HP","Intel"," Core i5",2.5,"AMD",17.3,1,"hdd","windows",37243.0,"2048",6,1920,1080,"0",0,"Notebook",2.71
"Lenovo","AMD"," A6-Series 9220",2.9,"AMD",15.6,0,"hdd","N/A",16464.0,"500",4,1366,768,"0",0,"Notebook",2.2
"Toshiba","Intel"," Core i3",2.4,"Intel",15.6,0,"hdd","windows",26054.0,"500",4,1366,768,"0",0,"Notebook",5.4
"HP","Intel"," Core i5",1.6,"Nvidia",17.3,0,"ssd","windows",49177.0,"256",8,1920,1080,"0",0,"Notebook",2.5
"Dell","Intel"," Core i3",2.4,"Intel",15.6,0,"hdd","windows",24456.0,"1024",8,1366,768,"0",0,"Notebook",2.3
"Acer","Intel"," Core i3",2.0,"Intel",15.6,0,"ssd","windows",23923.0,"128",4,1366,768,"0",0,"Notebook",2.1
"MSI","Intel"," Core i7",2.9,"Nvidia",18.4,0,"hybrid","windows",149131.0,"512",32,1920,1080,"1024",0,"Gaming",4.4
"Lenovo","Intel"," Core i5",2.5,"AMD",15.6,0,"hybrid","windows",43317.0,"128",8,1920,1080,"1024",0,"Notebook",1.9
"HP","Intel"," Core i5",1.6,"Intel",13.3,1,"ssd","windows",79867.0,"256",8,3840,2160,"0",1,"2 in 1 Convertible",1.29
"Dell","Intel"," Core i7",1.8,"AMD",15.6,0,"hybrid","linux",55891.0,"256",16,1920,1080,"2048",0,"Notebook",2.02
"Dell","Intel"," Core i5",1.6,"Intel",13.3,0,"ssd","windows",74539.0,"256",8,1920,1080,"0",0,"Ultrabook",1.23
"Lenovo","Intel"," Core i7",1.8,"Intel",13.9,1,"ssd","windows",98515.0,"512",16,3840,2160,"0",1,"2 in 1 Convertible",1.4
"Toshiba","Intel"," Core i5",2.5,"Intel",15.6,0,"ssd","windows",42251.0,"128",8,1366,768,"0",0,"Notebook",2.0
"Xiaomi","Intel"," Core i5",1.6,"Nvidia",15.6,1,"ssd","N/A",63883.0,"256",8,1920,1080,"0",0,"Notebook",1.95
"Dell","Intel"," Core i7",1.8,"Nvidia",17.3,0,"ssd","windows",82531.0,"512",16,1920,1080,"0",1,"Notebook",2.77
"Dell","Intel"," Core i7",2.8,"Nvidia",15.6,0,"ssd","windows",127712.0,"512",16,3840,2160,"0",1,"Notebook",2.06
"Lenovo","Intel"," Core i5",2.5,"Nvidia",15.6,1,"ssd","N/A",41505.0,"256",8,1920,1080,"0",0,"Gaming",2.4
"Acer","Intel"," Core i5",1.2,"Intel",13.3,1,"ssd","windows",52694.0,"256",8,1920,1080,"0",0,"Ultrabook",1.12
"Dell","Intel"," Core i7",1.8,"AMD",17.3,0,"hybrid","windows",57809.0,"128",8,1920,1080,"1024",0,"Notebook",2.8
"Vero","Intel"," Celeron Dual",1.1,"Intel",14.0,1,"flash_storage","windows",13853.0,"32",4,1920,1080,"0",0,"Notebook",1.3
"Xiaomi","Intel"," Core i5",2.5,"Nvidia",13.3,1,"ssd","N/A",53275.0,"256",8,1920,1080,"0",0,"Ultrabook",1.3
"Lenovo","Intel"," Core i5",1.6,"Nvidia",17.3,0,"ssd","N/A",37189.0,"256",8,1600,900,"0",0,"Notebook",2.8
"Dell","Intel"," Core i7",1.8,"Intel",13.3,1,"hdd","windows",44702.0,"1024",8,1920,1080,"0",1,"2 in 1 Convertible",1.62
"HP","Intel"," Core i5",1.6,"Nvidia",17.3,1,"hdd","windows",48698.0,"1024",8,1920,1080,"0",0,"Notebook",2.5
"Razer","Intel"," Core i7",2.9,"Nvidia",17.3,0,"ssd","windows",324955.0,"1024",32,3840,2160,"0",1,"Gaming",3.49
"HP","Intel"," Core i5",1.6,"Intel",13.3,0,"ssd","windows",51096.0,"512",8,1920,1080,"0",0,"Notebook",1.49
"HP","Intel"," Core i7",2.8,"Nvidia",17.3,1,"hybrid","windows",73473.0,"256",16,1920,1080,"1024",0,"Gaming",3.35
"HP","Intel"," Core i7",1.8,"Nvidia",17.3,0,"ssd","windows",55678.0,"256",8,1920,1080,"0",0,"Notebook",2.5
